file,start_time,end_time,ANIA_song
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-0_11531/Data/SMM11531_20240428_112800.wav,102.0,105.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-2-additional_11450/Data/SMM11450_20240419_063500.wav,18.0,21.0,1
all_audio/155993031.wav,6.0,9.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-13_14348/Data/SMM14348_20240511_112000.wav,51.0,54.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-13_14348/Data/SMM14348_20240511_112000.wav,36.0,39.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240606_101400.wav,117.0,120.0,1
all_audio/5024.wav,12.0,15.0,1
all_audio/5024.wav,33.0,36.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240429_122700.wav,216.0,219.0,1
all_audio/27338.mp3,24.0,27.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/H7-3_11436/Data/SMM11436_20240528_181500.wav,228.0,231.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-02_11914/Data/SMM11914_20240605_141400.wav,36.0,39.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-08_14243/Data/SMM14243_20240510_092100.wav,123.0,126.0,1
all_audio/27338.mp3,6.0,9.0,1
all_audio/155981941.wav,30.0,33.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240513_081900.wav,195.0,198.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240606_101400.wav,180.0,183.0,1
all_audio/5057.wav,24.0,27.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/H8-4-additional_11467/Data/SMM11467_20240412_134000.wav,30.0,33.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240521_081600.wav,30.0,33.0,1
all_audio/210206.mp3,3.0,6.0,1
all_audio/59047.mp3,15.0,18.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-11_14261/Data/SMM14261_20240501_152600.wav,123.0,126.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-14_14282/Data/SMM14282_20240412_174000.wav,57.0,60.0,1
all_audio/27338.mp3,39.0,42.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I7-0_11458/Data/SMM11458_20240417_163600.wav,21.0,24.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240513_081900.wav,60.0,63.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/F8-2_11868/Data/SMM11868_20240607_121400.wav,180.0,183.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240502_072500.wav,174.0,177.0,1
all_audio/5025.wav,18.0,21.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-2-additional_11450/Data/SMM11450_20240426_112900.wav,162.0,165.0,1
all_audio/5051.wav,21.0,24.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E7-0_11847/Data/SMM11847_20240523_131600.wav,135.0,138.0,1
all_audio/156091021.wav,24.0,27.0,1
all_audio/611565776.wav,6.0,9.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/G6-4_11432/Data/SMM11432_20240429_112700.wav,228.0,231.0,1
all_audio/155981941.wav,51.0,54.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-20_14379/Data/SMM14379_20240411_064100.wav,45.0,48.0,1
all_audio/5039.wav,6.0,9.0,1
all_audio/5057.wav,18.0,21.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240520_111700.wav,72.0,75.0,1
all_audio/155981941.wav,33.0,36.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-12_14263/Data/SMM14263_20240509_092100.wav,69.0,72.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240528_121500.wav,30.0,33.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240502_172500.wav,99.0,102.0,1
all_audio/5024.wav,48.0,51.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D6-0_11879/Data/SMM11879_20240606_101400.wav,189.0,192.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I9-2_11428/Data/SMM11428_20240420_103400.wav,90.0,93.0,1
all_audio/5024.wav,18.0,21.0,1
all_audio/27338.mp3,15.0,18.0,1
all_audio/155977701.wav,3.0,6.0,1
all_audio/155981941.wav,48.0,51.0,1
all_audio/156095241.wav,0.0,3.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/G6-4_11432/Data/SMM11432_20240428_122800.wav,183.0,186.0,1
all_audio/155981941.wav,39.0,42.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E7-2-extra_11917/Data/SMM11917_20240530_161400.wav,57.0,60.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-13_14348/Data/SMM14348_20240511_112000.wav,51.0,54.0,1
all_audio/155551331.wav,0.0,3.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240502_172500.wav,27.0,30.0,1
all_audio/155981941.wav,3.0,6.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240523_131600.wav,207.0,210.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/F8-2_11868/Data/SMM11868_20240528_061500.wav,141.0,144.0,1
all_audio/27338.mp3,3.0,6.0,1
all_audio/155981941.wav,27.0,30.0,1
all_audio/156095391.wav,0.0,3.0,1
all_audio/611565776.wav,12.0,15.0,1
all_audio/5120.wav,9.0,12.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/H7-3_11436/Data/SMM11436_20240528_051500.wav,39.0,42.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240430_102700.wav,6.0,9.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240331_085100.wav,228.0,231.0,1
all_audio/156091201.wav,3.0,6.0,1
all_audio/210206.mp3,15.0,18.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/H7-3_11436/Data/SMM11436_20240524_181600.wav,99.0,102.0,1
all_audio/5057.wav,21.0,24.0,1
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-0_11531/Data/SMM11531_20240420_173400.wav,21.0,24.0,1
all_audio/5052.wav,21.0,24.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-14_14258/Data/SMM14258_20240501_072600.wav,24.0,27.0,1
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-18_14255/Data/SMM14255_20240422_083200.wav,93.0,96.0,1
