0.000000	1.383265	KAAM_song
2.685161	4.861768	KAAM_song
8.136851	10.354143	KAAM_song
13.730936	15.785491	KAAM_song
19.325021	21.237181	KAAM_song
24.268158	26.648187	KAAM_song
30.187717	32.364325	KAAM_song
36.636171	38.690726	KAAM_song
42.637099	44.752680	KAAM_song
48.943158	51.567293	KAAM_song
55.432297	57.405483	KAAM_song
60.619540	62.836831	KAAM_song
65.115150	67.596889	KAAM_song
71.177104	73.089264	KAAM_song
76.730504	78.927454	KAAM_song
84.684276	87.023621	KAAM_song
90.766572	93.288996	KAAM_song
97.126875	99.545976	?KAAM_song
103.392345	105.932400	?KAAM_song
108.762748	110.456118	?KAAM_song
114.302487	116.600633	?KAAM_song
119.624508	122.067799	KAAM_song
125.841596	128.696134	KAAM_song
133.002132	135.251896	KAAM_song
138.348344	140.936781	KAAM_song
144.444477	147.105487	?KAAM_song
149.887452	152.475889	KAAM_song
155.765866	158.039820	KAAM_song
161.305605	163.386032	KAAM_song
168.798278	170.919375	KAAM_song
174.784379	177.266119	KAAM_song
182.082382	184.564122	KAAM_song
192.395841	194.226632	KAAM_song
199.132673	201.264812	KAAM_song
206.572476	208.913292	KAAM_song
213.014257	215.273416	KAAM_song
221.515592	223.647731	KAAM_song
226.723454	229.055197	KAAM_song
232.947484	235.687509	KAAM_song
245.114284	247.436954	KAAM_song
