file,start_time,end_time,clip_file,clip_start_time,clip_end_time,KAAM_song,comments,ANIA_song,comment,clf_score,deployment_id,deployment_name,project,date,recording_start_time,datetime
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-08_14342/Data/SMM14342_20240429_082700.wav,190,195,mp3/007054_OS-HPK-08_14342.mp3,0,5,no,,no,,0.3696,6,OS-HPK-08_14342,PUAI_OS,4/29/24,2024-04-29 08:27:00-10:00,4/29/24 8:27
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E7-2-extra_11917/Data/SMM11917_20240326_065600.wav,30,35,mp3/068655_E7-2-extra_11917.mp3,0,5,no,,no,,0.7593,59,E7-2-extra_11917,AKEK_grid,3/26/24,,3/26/24 6:56
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/D5-4_11471/Data/SMM11471_20240323_145900.wav,190,195,mp3/052179_D5-4_11471.mp3,0,5,no,,no,,-0.4287,46,D5-4_11471,AKEK_grid,3/23/24,2024-03-23 14:59:00-10:00,3/23/24 14:59
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-14_14282/Data/SMM14282_20240524_061500.wav,200,205,mp3/012100_OS-HPK-14_14282.mp3,0,5,no,,uncertain,,2.031,11,OS-HPK-14_14282,PUAI_OS,5/24/24,2024-05-24 06:15:00-10:00,5/24/24 6:15
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/C2-0_11798/Data/SMM11798_20240522_071600.wav,155,160,mp3/061772_C2-0_11798.mp3,0,5,no,,no,,0.01834,54,C2-0_11798,AKEK_grid,5/22/24,,5/22/24 7:16
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240510_162100.wav,155,160,mp3/028409_OS-HPK-21_14351.mp3,0,5,no,,no,,0.4211,26,OS-HPK-21_14351,PUAI_OS,5/10/24,2024-05-10 16:21:00-10:00,5/10/24 16:21
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/H10-0_11438/Data/SMM11438_20240417_183600.wav,20,25,mp3/120164_H10-0_11438.mp3,0,5,no,,uncertain,,-0.838,101,H10-0_11438,AKEK_grid,4/17/24,,4/17/24 18:36
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/E6-0_11800/Data/SMM11800_20240407_184500.wav,90,95,mp3/048217_E6-0_11800.mp3,0,5,no,,yes,,3.541,42,E6-0_11800,AKEK_grid,4/7/24,2024-04-07 18:45:00-10:00,4/7/24 18:45
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-0_11531/Data/SMM11531_20240427_122900.wav,100,105,mp3/096166_I8-0_11531.mp3,0,5,no,,yes,,6.973,80,I8-0_11531,AKEK_grid,4/27/24,,4/27/24 12:29
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I7-3_11447/Data/SMM11447_20240505_062300.wav,100,105,mp3/051658_I7-3_11447.mp3,0,5,no,,no,,-0.395,45,I7-3_11447,AKEK_grid,5/5/24,2024-05-05 06:23:00-10:00,5/5/24 6:23
