6.176508,8.498503,KAAM_song
43.862494,45.557551,KAAM_song
59.129615,60.720181,KAAM_song
72.23095,72.504308,KAAM_call
75.355043,75.76508,KAAM_call
78.697837,80.699208,?_KAAM_call
88.206792,88.626592,?
90.784169,91.448038,?
93.657687,95.492063,KAAM_song
98.223413,98.45772,?
100.517668,100.859366,?
102.811924,103.368403,KAAM_call
105.555267,105.975067,KAAM_call
109.424036,110.979773,KAAM_song
116.108841,116.411488,KAAM_call
119.672259,120.082296,KAAM_call
122.747537,123.294254,KAAM_call
132.266256,132.73487,KAAM_call
134.130068,134.977596,KAAM_song
135.898013,136.103032,?
